population,severity_bin,n_donors,mean_proportion,sem,survival_fraction,closure_artifact
PV,Not AD,9,0.080929,0.003633,1.000000,False
PV,Low,12,0.082640,0.002361,1.021135,True
PV,Intermediate,20,0.085165,0.002717,1.052339,True
PV,High,28,0.082891,0.002843,1.024241,True
PYR,Not AD,9,0.347191,0.018398,1.000000,False
PYR,Low,12,0.318729,0.011343,0.918023,False
PYR,Intermediate,20,0.301880,0.015967,0.869492,False
PYR,High,28,0.292541,0.014632,0.842595,False
SST,Not AD,9,0.056229,0.006763,1.000000,False
SST,Low,12,0.049902,0.005757,0.887471,False
SST,Intermediate,20,0.050265,0.005062,0.893939,False
SST,High,28,0.043561,0.003393,0.774707,False
VIP,Not AD,9,0.092744,0.003791,1.000000,False
VIP,Low,12,0.106895,0.006464,1.152581,True
VIP,Intermediate,20,0.098680,0.006637,1.064009,True
VIP,High,28,0.088734,0.005030,0.956767,False
