population,severity_bin,n_donors,mean_proportion,sem,survival_fraction,closure_artifact
PV,Braak 0,2,0.088215,0.009298,1.012461,True
PV,Braak II,4,0.087130,0.002871,1.000000,False
PV,Braak III,6,0.082602,0.005996,0.948033,False
PV,Braak IV,23,0.082294,0.002124,0.944501,False
PV,Braak V,26,0.082242,0.002545,0.943906,False
PV,Braak VI,8,0.086583,0.006868,0.993726,False
PYR,Braak 0,2,0.329879,0.027592,1.029253,True
PYR,Braak II,4,0.320503,0.017330,1.000000,False
PYR,Braak III,6,0.274663,0.033299,0.856975,False
PYR,Braak IV,23,0.334799,0.011855,1.044606,True
PYR,Braak V,26,0.304351,0.014822,0.949605,False
PYR,Braak VI,8,0.246869,0.016603,0.770255,False
SST,Braak 0,2,0.064325,0.011075,1.297889,True
SST,Braak II,4,0.049561,0.008977,1.000000,False
SST,Braak III,6,0.045232,0.009158,0.912658,False
SST,Braak IV,23,0.048954,0.003535,0.987745,False
SST,Braak V,26,0.045105,0.004544,0.910095,False
SST,Braak VI,8,0.054116,0.007093,1.091904,True
VIP,Braak 0,2,0.099621,0.008450,0.796910,False
VIP,Braak II,4,0.125009,0.010894,1.000000,False
VIP,Braak III,6,0.119217,0.017433,0.953671,False
VIP,Braak IV,23,0.092394,0.002921,0.739101,False
VIP,Braak V,26,0.085864,0.005183,0.686864,False
VIP,Braak VI,8,0.100437,0.007731,0.803443,False
