population,severity_bin,n_donors,mean_proportion,sem,survival_fraction,closure_artifact
PV,CPS Q1 (lowest),18,0.083931,0.002361,1.000000,False
PV,CPS Q2,17,0.080969,0.002499,0.964717,False
PV,CPS Q3,17,0.085446,0.003501,1.018059,True
PV,CPS Q4 (highest),17,0.082616,0.003742,0.984334,False
PYR,CPS Q1 (lowest),18,0.325816,0.012565,1.000000,False
PYR,CPS Q2,17,0.315998,0.012803,0.969865,False
PYR,CPS Q3,17,0.302051,0.020236,0.927059,False
PYR,CPS Q4 (highest),17,0.282747,0.019195,0.867812,False
SST,CPS Q1 (lowest),18,0.057866,0.005354,1.000000,False
SST,CPS Q2,17,0.048108,0.004113,0.831376,False
SST,CPS Q3,17,0.044588,0.004956,0.770544,False
SST,CPS Q4 (highest),17,0.041910,0.004194,0.724267,False
VIP,CPS Q1 (lowest),18,0.100698,0.003937,1.000000,False
VIP,CPS Q2,17,0.091964,0.005111,0.913270,False
VIP,CPS Q3,17,0.098558,0.008707,0.978754,False
VIP,CPS Q4 (highest),17,0.089657,0.006536,0.890357,False
