supertype,cps_quartile,n_donors,mean_proportion,sem,survival_fraction,total_nuclei,nuclei_per_donor_median,low_count_warning
Pvalb_1,Q1 (lowest),18,0.004379269,0.0003010616,1.0,4368,61.0,False
Pvalb_1,Q2,17,0.0049521583,0.0002865132,1.1308185,4368,61.0,False
Pvalb_1,Q3,17,0.0047592204,0.00035493253,1.0867614,4368,61.0,False
Pvalb_1,Q4 (highest),17,0.005261337,0.00038646298,1.2014189,4368,61.0,False
Pvalb_10,Q1 (lowest),18,0.0018250146,0.00017510534,1.0,1556,22.0,False
Pvalb_10,Q2,17,0.0016335011,0.00015778615,0.89506197,1556,22.0,False
Pvalb_10,Q3,17,0.001758794,0.00021483644,0.963715,1556,22.0,False
Pvalb_10,Q4 (highest),17,0.0016463324,0.00024342602,0.90209275,1556,22.0,False
Pvalb_12,Q1 (lowest),18,0.0021164236,0.00032241782,1.0,2036,25.0,False
Pvalb_12,Q2,17,0.002162371,0.00024238774,1.0217099,2036,25.0,False
Pvalb_12,Q3,17,0.0022057584,0.0003354549,1.0422102,2036,25.0,False
Pvalb_12,Q4 (highest),17,0.0023835094,0.00032101688,1.1261967,2036,25.0,False
Pvalb_13,Q1 (lowest),18,0.0013033618,0.00014630727,1.0,1220,16.0,False
Pvalb_13,Q2,17,0.0012902832,8.321129e-05,0.98996544,1220,16.0,False
Pvalb_13,Q3,17,0.0015161262,0.00017873652,1.1632427,1220,16.0,False
Pvalb_13,Q4 (highest),17,0.0012350619,0.00011936257,0.9475971,1220,16.0,False
Pvalb_14,Q1 (lowest),18,0.0041748737,0.00031499006,1.0,3121,39.0,False
Pvalb_14,Q2,17,0.0035932772,0.000489505,0.86069125,3121,39.0,False
Pvalb_14,Q3,17,0.0028128026,0.00040563193,0.6737456,3121,39.0,False
Pvalb_14,Q4 (highest),17,0.0026736378,0.0005158634,0.6404117,3121,39.0,False
Pvalb_15,Q1 (lowest),18,0.03133277,0.0012086031,1.0,28024,410.0,False
Pvalb_15,Q2,17,0.029877782,0.0013549839,0.9535634,28024,410.0,False
Pvalb_15,Q3,17,0.03165912,0.0013519317,1.0104157,28024,410.0,False
Pvalb_15,Q4 (highest),17,0.030719038,0.001591944,0.9804125,28024,410.0,False
Pvalb_2,Q1 (lowest),18,0.015186863,0.00074062374,1.0,14779,198.0,False
Pvalb_2,Q2,17,0.015362507,0.0008730409,1.0115654,14779,198.0,False
Pvalb_2,Q3,17,0.017669097,0.0007662248,1.1634461,14779,198.0,False
Pvalb_2,Q4 (highest),17,0.017288968,0.0010985775,1.138416,14779,198.0,False
Pvalb_3,Q1 (lowest),18,0.0057465076,0.0002711813,1.0,4947,69.0,False
Pvalb_3,Q2,17,0.0055167964,0.0004177434,0.96002597,4947,69.0,False
Pvalb_3,Q3,17,0.0053432994,0.00047727439,0.92983425,4947,69.0,False
Pvalb_3,Q4 (highest),17,0.0048262263,0.00065553834,0.8398538,4947,69.0,False
Pvalb_5,Q1 (lowest),18,0.0041412776,0.0003127344,1.0,3404,44.0,False
Pvalb_5,Q2,17,0.003697971,0.00029986264,0.8929542,3404,44.0,False
Pvalb_5,Q3,17,0.0035945605,0.00033745443,0.86798346,3404,44.0,False
Pvalb_5,Q4 (highest),17,0.003413338,0.00035187879,0.8242234,3404,44.0,False
Pvalb_6,Q1 (lowest),18,0.004001526,0.00031519838,1.0,3379,47.0,False
Pvalb_6,Q2,17,0.003805391,0.00026598846,0.9509849,3379,47.0,False
Pvalb_6,Q3,17,0.0039182687,0.00026839064,0.97919357,3379,47.0,False
Pvalb_6,Q4 (highest),17,0.003245713,0.00028293158,0.8111188,3379,47.0,False
Pvalb_7,Q1 (lowest),18,0.0021083138,0.00021214085,1.0,2170,28.0,False
Pvalb_7,Q2,17,0.0021191912,0.00016246494,1.0051593,2170,28.0,False
Pvalb_7,Q3,17,0.0025452233,0.00028546352,1.2072318,2170,28.0,False
Pvalb_7,Q4 (highest),17,0.002794196,0.0003213451,1.3253225,2170,28.0,False
Pvalb_8,Q1 (lowest),18,0.0019991824,0.00026378728,1.0,1389,16.0,False
Pvalb_8,Q2,17,0.0016096347,0.0001721191,0.8051465,1389,16.0,False
Pvalb_8,Q3,17,0.0012693673,0.00020933471,0.6349432,1389,16.0,False
Pvalb_8,Q4 (highest),17,0.0011724535,0.0002487024,0.5864665,1389,16.0,False
Pvalb_9,Q1 (lowest),18,0.0056151566,0.0004612559,1.0,5142,69.0,False
Pvalb_9,Q2,17,0.0053483527,0.00037827087,0.952485,5142,69.0,False
Pvalb_9,Q3,17,0.0063945893,0.0007252234,1.1388087,5142,69.0,False
Pvalb_9,Q4 (highest),17,0.005955875,0.0007064965,1.0606784,5142,69.0,False
