supertype,cps_quartile,n_donors,mean_proportion,sem,survival_fraction,total_nuclei,nuclei_per_donor_median,low_count_warning
Sst Chodl_1,Q1 (lowest),18,0.000654422,0.0001419768,1.0,688,8.0,False
Sst Chodl_1,Q2,17,0.00080510933,0.00013648812,1.2302603,688,8.0,False
Sst Chodl_1,Q3,17,0.0007081656,8.785475e-05,1.0821238,688,8.0,False
Sst Chodl_1,Q4 (highest),17,0.0008085783,0.00011986599,1.235561,688,8.0,False
Sst Chodl_2,Q1 (lowest),18,0.0007869392,7.803283e-05,1.0,606,8.0,False
Sst Chodl_2,Q2,17,0.0006496241,7.940079e-05,0.82550734,606,8.0,False
Sst Chodl_2,Q3,17,0.00059514184,8.56071e-05,0.7562742,606,8.0,False
Sst Chodl_2,Q4 (highest),17,0.0006160473,7.023345e-05,0.7828397,606,8.0,False
Sst_1,Q1 (lowest),18,0.0012472316,0.00014714665,1.0,1311,18.0,False
Sst_1,Q2,17,0.0013907712,0.0001266061,1.1150866,1311,18.0,False
Sst_1,Q3,17,0.0015240252,0.00017916696,1.2219263,1311,18.0,False
Sst_1,Q4 (highest),17,0.0018089287,0.0002393536,1.450355,1311,18.0,False
Sst_10,Q1 (lowest),18,0.0025966375,0.00019450628,1.0,2631,35.0,False
Sst_10,Q2,17,0.002733481,0.00018723626,1.0527003,2631,35.0,False
Sst_10,Q3,17,0.003153773,0.0003120947,1.2145604,2631,35.0,False
Sst_10,Q4 (highest),17,0.003356899,0.00039154038,1.292787,2631,35.0,False
Sst_11,Q1 (lowest),18,0.0022978075,0.000481819,1.0,1202,10.0,False
Sst_11,Q2,17,0.0011216446,0.00030082095,0.48813692,1202,10.0,False
Sst_11,Q3,17,0.0007787012,0.00018268326,0.3388888,1202,10.0,False
Sst_11,Q4 (highest),17,0.0009031563,0.00026577717,0.39305133,1202,10.0,False
Sst_12,Q1 (lowest),18,0.001637948,0.00020276355,1.0,1509,17.0,False
Sst_12,Q2,17,0.0015862817,0.00013996368,0.9684567,1509,17.0,False
Sst_12,Q3,17,0.0016090722,0.00017445478,0.98237073,1509,17.0,False
Sst_12,Q4 (highest),17,0.0017884558,0.0002310902,1.0918881,1509,17.0,False
Sst_13,Q1 (lowest),18,0.005799552,0.00063523964,1.0,4841,69.0,False
Sst_13,Q2,17,0.005197022,0.0005521409,0.8961075,4841,69.0,False
Sst_13,Q3,17,0.005098158,0.00069082726,0.8790607,4841,69.0,False
Sst_13,Q4 (highest),17,0.0049365335,0.0006453524,0.85119224,4841,69.0,False
Sst_19,Q1 (lowest),18,0.007505234,0.0010066262,1.0,5509,66.0,False
Sst_19,Q2,17,0.0058117537,0.00082884496,0.7743601,5509,66.0,False
Sst_19,Q3,17,0.0058316137,0.00093104906,0.77700627,5509,66.0,False
Sst_19,Q4 (highest),17,0.00463648,0.00067161705,0.6177662,5509,66.0,False
Sst_2,Q1 (lowest),18,0.0035221693,0.00038828875,1.0,2221,27.0,False
Sst_2,Q2,17,0.0025174986,0.00031358047,0.714758,2221,27.0,False
Sst_2,Q3,17,0.0020947438,0.00033642174,0.59473115,2221,27.0,False
Sst_2,Q4 (highest),17,0.0016801675,0.00027785747,0.47702634,2221,27.0,False
Sst_20,Q1 (lowest),18,0.0030593686,0.0005954219,1.0,1682,12.0,False
Sst_20,Q2,17,0.0018253507,0.00042089476,0.596643,1682,12.0,False
Sst_20,Q3,17,0.001123294,0.0003490694,0.3671653,1682,12.0,False
Sst_20,Q4 (highest),17,0.0011270636,0.00036424273,0.36839747,1682,12.0,False
Sst_22,Q1 (lowest),18,0.0010892764,0.00029082884,1.0,590,3.0,False
Sst_22,Q2,17,0.00058103306,0.00017194459,0.533412,590,3.0,False
Sst_22,Q3,17,0.00040555844,0.00012102852,0.37231913,590,3.0,False
Sst_22,Q4 (highest),17,0.00039948238,0.00016496023,0.36674106,590,3.0,False
Sst_23,Q1 (lowest),18,0.0039500967,0.00055523735,1.0,2388,22.0,False
